  No    Ref    V       B-V     U-B
 0252   158  14.680   0.700   0.280
 0253   158  12.050   0.590         
 0254   158  14.470   0.910   0.510
 0255   158  14.410   0.800   0.180
 0256   158  14.300   0.500   0.560
 0257   158  13.220   0.830   0.560
 0258   158  12.980   0.580   0.130
 0259   158  11.960   0.520  -0.050
 0260   158  14.820   0.830   0.310
 0261   158  12.130   0.530  -0.220
 0262   158  11.270   1.070   0.980
 0263   158  10.650   0.260   0.060
 0264   158  15.270   0.870   1.340
 0265   158  12.450   0.720   0.290
 0266   158  13.740   0.800   0.530
 0267   158  14.450   0.720   0.360
 0268   158  12.620   0.410   0.270
 0269   158  14.810   1.000   0.860
 0270   158  14.660   1.040   0.610
 0271   158  15.250   0.890   1.440
 0272   158  14.650   1.220   0.350
 0273   158  13.400   0.710  -0.010
 0274   158  15.850   1.240  -0.870
 0275   158  13.310   0.600  -0.080
 0276   158  13.300   0.720   0.120
 0277   158  12.280   0.620   0.010
 0278   158  13.850   0.720   0.210
 0279   158  12.760   0.630   0.130
 0280   158  14.840   0.920   0.370
 0281   158  14.610   0.810   0.220
 0282   158  13.840   0.850   0.250
 0283   158  14.840   0.740   0.350
 0284   158  13.160   0.670   0.070
 0285   158  14.200   0.640  -0.080
 0286   158  13.830   0.730  -0.140
 0287   158  14.740   1.090   0.240
 0288   158  11.820   0.580  -0.200
 0289   158  14.500   0.930   0.730
 0290   158  14.240   0.920   0.140
 0291   158  11.870   0.570  -0.250
 0292   158  13.470   0.570   0.130
 0293   158  13.980   0.780  -0.010
 0307   158  12.860   0.710   0.020
 0313   158  13.520   0.700   0.620
 0323   158  10.550   0.210   0.110
 0345   158  14.380   1.120   1.150
 0348   158  10.240   1.380   1.570
 0354   158  13.400   1.670   0.940
 0355   158  12.700   1.700   1.370
 0360   158  13.040   0.790   0.210
 0361   158  16.510   0.060  -0.150
 0371   158  14.280   0.800   0.310
 0391   158  14.100   0.780   0.130
 1001   137  15.040   1.810   1.390
 1002   137  15.210   1.120   1.070
 1007   137  18.150   1.120         
 1008   137  17.310   1.180         
 1011   137  17.610   0.930         
 1016   137  16.250   1.180   0.910
 1020   137  15.470   1.520         
 1021   137  16.490   1.270         
 1022   137  16.160   1.890         
 1023   137  16.580   1.430         
 1026   137  18.050   1.630         
 1034   137  17.190   1.250         
 1036   137  17.310   1.120         
 1037   137  16.330   1.080   0.710
 1039   137  14.920   0.880   0.410
 1043   137  18.790   1.010         
 1045   137  16.940   1.150   0.280
 1049   137  16.000   1.250   1.140
 1051   137  15.130   0.900   0.660
 1052   137  15.810   1.850         
 1063   137  16.540   1.370         
 1066   137  16.360   1.910         
 1067   137  18.800   1.080         
 1071   137  16.990   2.030         
 1072   137  16.760   0.900         
 1076   137  15.550   1.020   0.800
 1079   137  18.760   1.490         
 1080   137  14.670   1.040   0.610
 1082   137  18.180   1.600         
 1083   137  17.770   1.330         
 1100   137  17.920   1.370         
 1105   137  18.790   0.770         
 1110   137  14.380   1.810   1.350
 1112   137  17.890   1.110         
 1118   137  17.680   1.440         
 1119   137  16.730   1.060         
 1123   137  16.960   1.180   0.320
 1124   137  18.160   1.220         
 1132   137  17.450   1.700         
 1139   137  17.420   1.310         
 1143   137  18.080   1.170         
 1144   137  17.140   1.300         
 1145   137  17.830   1.350         
 1146   137  18.520   1.160         
 1149   137  18.090   1.450         
 1152   137  14.310   1.690   2.230
 1158   137  17.460   1.210         
 1160   137  17.100   1.380         
 1164   137  17.950   1.250         
 1168   137  18.110   1.150         
 1170   137  18.600   1.420         
 1175   137  16.860   1.320         
 1176   137  15.480   1.160   0.860
 1182   137  18.730   1.760         
 1186   137  17.580   1.510         
 1190   137  17.860   1.230         
 1192   137  15.590   1.710         
 1193   137  16.390   1.200         
 1194   137  18.600   1.100         
 1201   137  16.560   1.450         
 1202   137  18.100   1.230         
 1204   137  16.400   1.110   0.590
 1212   137  18.760   1.290         
 1213   137  17.940   1.410         
 1215   137  15.900   1.150   0.550
 1225   137  14.220   2.060   1.870
 1232   137  15.620   1.220   1.100
 1233   137  16.040   1.130   0.570
 1235   137  18.050   1.170         
 1238   137  16.830   1.060   0.410
 1242   137  18.710   1.430         
 1243   137  17.070   1.200         
 1244   137  17.640   1.190         
 1249   137  18.090   1.340  -0.820
 1251   137  17.630   1.410  -0.520
 1252   137  17.320   1.180         
 1254   137  17.630   1.330         
 1255   137  15.590   1.860   1.110
 1257   137  17.850   1.690         
 1258   137  18.200   1.560         
 1260   137  17.580   1.230         
 1266   137  18.010   1.360         
 1267   137  16.490   1.410         
 1268   137  17.080   1.220         
 1276   137  16.990   1.350         
 1279   137  15.060   0.930   0.510
 1281   137  18.090   1.370         
 1282   137  18.670   1.490         
 1284   137  16.540   1.340         
 1285   137  18.320   1.090         
 1288   137  17.390   1.420         
 1289   137  18.400   1.500         
 1290   137  18.950   1.280         
 1293   137  16.280   1.180   0.440
 1297   137  17.060   1.240         
 1306   137  16.630   1.480         
 1309   137  17.050   1.140         
 1310   137  17.200   1.420         
 1315   137  18.570   1.690         
 1316   137  16.970   1.290         
 1318   137  18.570   1.960         
 1319   137  15.810   1.130   0.660
 1322   137  17.400   1.400         
 1326   137  17.980   1.880         
 1331   137  17.840   1.830         
 1332   137  18.470   1.160         
 1334   137  15.760   1.140   1.040
 1335   137  18.540   1.900         
 1338   137  16.600   2.010         
 1339   137  16.480   1.650         
 1342   137  18.190   1.480         
 1343   137  15.250   0.930   0.970
 1344   137  16.360   0.940   1.000
 1350   137  18.480   1.380         
 1354   137  16.580   1.600         
 1357   137  16.870   0.960         
 1358   137  16.370   1.540         
 1359   137  18.640   1.490         
 1366   137  16.380   1.030         
 1372   137  15.780   1.010         
 1377   137  16.870   1.080  -0.240
 1380   137  14.890   1.560         
 1382   137  17.820   1.630         
 1383   137  16.690   0.960         
 1386   137  17.400   1.440         
 1388   137  17.650   2.060         
 1389   137  18.800   1.620         
 1397   137  15.000   1.050   0.480
 1401   137  18.590   1.240         
 1405   137  15.280   1.120   0.810
 1407   137  17.500   1.120         
 1412   137  18.030   1.190         
 1413   137  15.150   1.330   0.840
 1414   137  17.450   1.140         
 1425   137  15.750   1.080   0.700
 1426   137  17.160   1.780         
 1435   137  17.500   1.780  -3.850
 1448   137  18.480   0.990         
 1450   137  18.080   1.200         
 1451   137  18.190   1.290         
 1454   137  18.130   1.580         
 1459   137  18.860   0.990         
 1461   137  18.830   1.440         
 1466   137  18.490   1.330         
 1467   137  18.410   1.280         
 1468   137  17.980   1.670         
 1469   137  17.660   1.310         
 1471   137  16.790   1.130         
 1476   137  18.440   0.960         
 1483   137  16.280   1.890         
 1485   137  16.160   1.760         
 1486   137  18.950   0.960         
 1487   137  18.390   1.250         
 1488   137  16.750   1.030         
 1495   137  17.630   1.630         
 1501   137  16.340   1.220         
 1504   137  17.230   1.240   0.300
 1505   137  16.770   0.940         
 1508   137  16.180   2.090         
 1514   137  16.830   1.010         
 1515   137  17.630   2.180         
 1519   137  19.020   0.760         
 1523   137  16.730   1.090         
 1527   137  18.380   1.240         
 1528   137  17.830   2.050         
 1535   137  17.360   1.270         
 1536   137  17.760   1.150         
 1538   137  18.440   1.230         
