  No    Ref    V       B-V     U-B
 0346   229  15.340   1.120   0.740
 0347   229  14.610   0.900   0.380
 0348   229  15.270   1.970   1.420
 0349   229  16.260   1.350   1.000
 0350   229  14.590   1.120   0.550
 0352   229  14.170   1.070   0.770
 0353   229  15.700   1.260   1.410
 0354   229  16.240   1.380   0.950
 0355   229  14.720   0.970   0.980
 0356   229  17.190   1.570   1.010
 0357   229  13.250   0.840   0.620
 0358   229  15.590   1.020   0.700
 0359   229  16.290   1.180   0.910
 0360   229  16.390   1.490   1.110
 0361   229  16.910   1.430   0.970
 0362   229  16.120   1.320   0.980
 0363   229  15.670   1.320   0.860
 0364   229  16.290   1.240   0.830
 0365   229  15.620   1.260   0.930
 0366   229  16.740   1.160   1.040
 0367   229  17.790   1.460   1.190
 0368   229  14.780   0.890   0.700
 0369   229  15.360   1.820   1.870
 0370   229  17.100   1.160   0.830
 0371   229  15.120   0.930   0.360
 0372   229  16.260   1.210   1.350
 0373   229  16.250   1.090   0.890
 0374   229  16.780   1.310   0.870
 0375   229  15.480   0.930   0.710
 0376   229  16.480   1.320   0.880
 0377   229  16.230   1.480   1.100
